"","id","median","mad","iqr"
"1","L0",4243700,1823227.35,2785125
"2","L8",8791150,5941000.59,7927675
"3","L15",113394950,5671982.82,23771125
"4","L18",939073600,79620067.8,186872825
"5","L20",7641616350,180541020.45,238070625
