"","id","median","mad","iqr"
"1","Lmodels...B.json",500,444.78,1000
"2","Lmodels...C.java....noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon",400,148.26,100
"3","Lmodels...B.json.1",200,148.26,200
"4","Lmodels...C.java....noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon..noProxyCon.1",300,148.26,200
