L0,L8,L15,L18,L20
3338900.0,9512800.0,1.102525E8,1.0479963E9,7.5671368E9
3057900.0,7783800.0,1.088173E8,9.032957E8,7.7608787E9
4402800.0,9459500.0,1.093702E8,1.0764428E9,7.5093774E9
5766100.0,1.31413E7,1.116551E8,1.0864874E9,7.6849714E9
2684900.0,7813800.0,1.104962E8,9.151436E8,7.6753344E9
9500100.0,3050700.0,1.164569E8,1.0886028E9,7.4165931E9
3421100.0,4725000.0,1.239115E8,9.025652E8,7.6208784E9
3836500.0,4769400.0,1.491178E8,1.0945482E9,7.8267769E9
1.14756E7,4798600.0,1.091263E8,1.0797266E9,7.505584E9
3157600.0,4028400.0,1.085331E8,9.397162E8,7.7272955E9
7611200.0,6980400.0,1.169681E8,1.0103162E9,7.8200005E9
2781800.0,3344500.0,1.117695E8,8.869326E8,7.5561085E9
4489000.0,3202800.0,1.14194E8,1.0846676E9,7.6218476E9
4946200.0,5793000.0,1.091757E8,8.865158E8,7.8461768E9
