"","id","median","mad","iqr"
"1","L0",48100,9785.16,14825
"2","L2",23800,5485.62,6600
"3","L10",15600,1779.12,9100
"4","L17",23700,11119.5,9700
"5","L20",25800,1779.12,3700
"6","L100",24800,4151.28,19700
"7","L1000",179900,33210.24,44500
"8","L5000",454300,29800.26,73600
"9","L10000",890300,43440.18,375725
"10","L50000",5188450,807053.31,1157700
"11","L100000",10025250,861168.21,1146400
